"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 12 15:53:52 GMT 2024","Sun May 12 15:53:53 GMT 2024","1456","Alfio End to End Test","Chrome Execution","simtran.alfiotest.tests.prelogin.LoginTest","simtran.alfiotest.tests.prelogin.LoginTest","loginWithoutCheckingCaptchaCheckbox","Login - Ignore captcha checkbox",""
"passed","Sun May 12 15:53:55 GMT 2024","Sun May 12 15:53:56 GMT 2024","39","Alfio End to End Test","Chrome Execution","simtran.alfiotest.tests.prelogin.LoginTest","simtran.alfiotest.tests.prelogin.LoginTest","verifyLoginPageTitle","Login page's title",""
"passed","Sun May 12 15:54:03 GMT 2024","Sun May 12 15:54:03 GMT 2024","67","Alfio End to End Test","Firefox Execution","simtran.alfiotest.tests.prelogin.LoginTest","simtran.alfiotest.tests.prelogin.LoginTest","verifyLoginPageTitle","Login page's title",""
"passed","Sun May 12 15:53:58 GMT 2024","Sun May 12 15:53:59 GMT 2024","911","Alfio End to End Test","Firefox Execution","simtran.alfiotest.tests.prelogin.LoginTest","simtran.alfiotest.tests.prelogin.LoginTest","loginWithoutCheckingCaptchaCheckbox","Login - Ignore captcha checkbox",""
