"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 05 15:55:31 GMT 2024","Mon Aug 05 15:55:33 GMT 2024","2163","Evershop End to End Test","Firefox Execution","simtran.evershop.tests.testng.CategoryTests","simtran.evershop.tests.testng.CategoryTests","verifyProductCount","Category - Verify product count",""
"passed","Mon Aug 05 15:55:26 GMT 2024","Mon Aug 05 15:55:28 GMT 2024","2065","Evershop End to End Test","Chrome Execution","simtran.evershop.tests.testng.CategoryTests","simtran.evershop.tests.testng.CategoryTests","verifyOpeningCategoriesFromHomepage","Category - Verify opening categories from Homepage",""
"passed","Mon Aug 05 15:55:31 GMT 2024","Mon Aug 05 15:55:33 GMT 2024","2135","Evershop End to End Test","Chrome Execution","simtran.evershop.tests.testng.CategoryTests","simtran.evershop.tests.testng.CategoryTests","verifyProductCount","Category - Verify product count",""
"passed","Mon Aug 05 15:55:33 GMT 2024","Mon Aug 05 15:55:35 GMT 2024","1947","Evershop End to End Test","Chrome Execution","simtran.evershop.tests.testng.CategoryTests","simtran.evershop.tests.testng.CategoryTests","verifyProductCount","Category - Verify product count",""
"passed","Mon Aug 05 15:55:17 GMT 2024","Mon Aug 05 15:55:19 GMT 2024","2702","Evershop End to End Test","Firefox Execution","simtran.evershop.tests.testng.CategoryTests","simtran.evershop.tests.testng.CategoryTests","verifyOpeningCategoriesFromHomepage","Category - Verify opening categories from Homepage",""
"passed","Mon Aug 05 15:56:09 GMT 2024","Mon Aug 05 15:56:29 GMT 2024","19673","Evershop End to End Test","Firefox Execution","simtran.evershop.tests.testng.ProductDetailsTests","simtran.evershop.tests.testng.ProductDetailsTests","verifyOpeningProductDetailsPageFromCategoryPage","Product Details - Verify opening product details page from Category page",""
"passed","Mon Aug 05 15:55:27 GMT 2024","Mon Aug 05 15:55:29 GMT 2024","2106","Evershop End to End Test","Firefox Execution","simtran.evershop.tests.testng.CategoryTests","simtran.evershop.tests.testng.CategoryTests","verifyOpeningCategoriesFromHomepage","Category - Verify opening categories from Homepage",""
"passed","Mon Aug 05 15:55:21 GMT 2024","Mon Aug 05 15:55:23 GMT 2024","1967","Evershop End to End Test","Chrome Execution","simtran.evershop.tests.testng.CategoryTests","simtran.evershop.tests.testng.CategoryTests","verifyOpeningCategoriesFromHomepage","Category - Verify opening categories from Homepage",""
"passed","Mon Aug 05 15:55:36 GMT 2024","Mon Aug 05 15:55:39 GMT 2024","2819","Evershop End to End Test","Firefox Execution","simtran.evershop.tests.testng.CategoryTests","simtran.evershop.tests.testng.CategoryTests","verifyProductCount","Category - Verify product count",""
"broken","Mon Aug 05 15:56:18 GMT 2024","Mon Aug 05 15:56:22 GMT 2024","4354","Evershop End to End Test","Chrome Execution","simtran.evershop.tests.testng.ProductDetailsTests","simtran.evershop.tests.testng.ProductDetailsTests","verifyOpeningProductDetailsPageFromHomepage","Product Details - Verify opening product details page from Homepage",""
