"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 13 15:39:05 GMT 2024","Mon May 13 15:39:06 GMT 2024","912","Alfio End to End Test","Firefox Execution","simtran.alfiotest.tests.prelogin.LoginTest","simtran.alfiotest.tests.prelogin.LoginTest","loginWithoutCheckingCaptchaCheckbox","Login - Ignore captcha checkbox",""
"passed","Mon May 13 15:39:03 GMT 2024","Mon May 13 15:39:03 GMT 2024","61","Alfio End to End Test","Chrome Execution","simtran.alfiotest.tests.prelogin.LoginTest","simtran.alfiotest.tests.prelogin.LoginTest","verifyLoginPageTitle","Login page's title",""
"passed","Mon May 13 15:39:00 GMT 2024","Mon May 13 15:39:01 GMT 2024","1281","Alfio End to End Test","Chrome Execution","simtran.alfiotest.tests.prelogin.LoginTest","simtran.alfiotest.tests.prelogin.LoginTest","loginWithoutCheckingCaptchaCheckbox","Login - Ignore captcha checkbox",""
"passed","Mon May 13 15:39:10 GMT 2024","Mon May 13 15:39:10 GMT 2024","59","Alfio End to End Test","Firefox Execution","simtran.alfiotest.tests.prelogin.LoginTest","simtran.alfiotest.tests.prelogin.LoginTest","verifyLoginPageTitle","Login page's title",""
