"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 08 09:57:29 GMT 2024","Sat Jun 08 09:57:37 GMT 2024","8525","Evershop End to End Test","Firefox Execution","simtran.evershop.tests.store.CategoryTests","simtran.evershop.tests.store.CategoryTests","verifySortingByName","Category - Verify sorting products by name",""
"passed","Sat Jun 08 09:58:00 GMT 2024","Sat Jun 08 09:58:02 GMT 2024","2418","Evershop End to End Test","Firefox Execution","simtran.evershop.tests.store.ProductDetailsTests","simtran.evershop.tests.store.ProductDetailsTests","verifyOpeningProductDetailsPageFromHomepage","Product Details - Verify opening product details page from Homepage",""
"passed","Sat Jun 08 09:57:17 GMT 2024","Sat Jun 08 09:57:18 GMT 2024","887","Evershop End to End Test","Chrome Execution","simtran.evershop.tests.store.CategoryTests","simtran.evershop.tests.store.CategoryTests","verifyProductCount","Category - Verify product count",""
"passed","Sat Jun 08 09:57:05 GMT 2024","Sat Jun 08 09:57:08 GMT 2024","2839","Evershop End to End Test","Chrome Execution","simtran.evershop.tests.store.LoginTests","simtran.evershop.tests.store.LoginTests","verifyLoginUsingInvalidCredentials","Login - Verify logging in with invalid credentials",""
"passed","Sat Jun 08 09:57:12 GMT 2024","Sat Jun 08 09:57:12 GMT 2024","621","Evershop End to End Test","Chrome Execution","simtran.evershop.tests.store.CategoryTests","simtran.evershop.tests.store.CategoryTests","verifyOpeningCategoriesFromHomepage","Category - Verify opening categories from Homepage",""
"passed","Sat Jun 08 09:57:10 GMT 2024","Sat Jun 08 09:57:11 GMT 2024","1044","Evershop End to End Test","Firefox Execution","simtran.evershop.tests.store.CategoryTests","simtran.evershop.tests.store.CategoryTests","verifyOpeningCategoriesFromHomepage","Category - Verify opening categories from Homepage",""
"passed","Sat Jun 08 09:57:18 GMT 2024","Sat Jun 08 09:57:18 GMT 2024","971","Evershop End to End Test","Firefox Execution","simtran.evershop.tests.store.CategoryTests","simtran.evershop.tests.store.CategoryTests","verifyProductCount","Category - Verify product count",""
"passed","Sat Jun 08 09:57:22 GMT 2024","Sat Jun 08 09:57:23 GMT 2024","1120","Evershop End to End Test","Firefox Execution","simtran.evershop.tests.store.CategoryTests","simtran.evershop.tests.store.CategoryTests","verifyProductCount","Category - Verify product count",""
"passed","Sat Jun 08 09:57:11 GMT 2024","Sat Jun 08 09:57:11 GMT 2024","595","Evershop End to End Test","Chrome Execution","simtran.evershop.tests.store.CategoryTests","simtran.evershop.tests.store.CategoryTests","verifyOpeningCategoriesFromHomepage","Category - Verify opening categories from Homepage",""
"passed","Sat Jun 08 09:57:34 GMT 2024","Sat Jun 08 09:57:42 GMT 2024","7386","Evershop End to End Test","Chrome Execution","simtran.evershop.tests.store.ProductDetailsTests","simtran.evershop.tests.store.ProductDetailsTests","verifyOpeningProductDetailsPageFromCategoryPage","Product Details - Verify opening product details page from Category page",""
"passed","Sat Jun 08 09:57:15 GMT 2024","Sat Jun 08 09:57:16 GMT 2024","991","Evershop End to End Test","Chrome Execution","simtran.evershop.tests.store.CategoryTests","simtran.evershop.tests.store.CategoryTests","verifyProductCount","Category - Verify product count",""
"passed","Sat Jun 08 09:57:25 GMT 2024","Sat Jun 08 09:57:26 GMT 2024","1129","Evershop End to End Test","Firefox Execution","simtran.evershop.tests.store.CategoryTests","simtran.evershop.tests.store.CategoryTests","verifyProductCount","Category - Verify product count",""
"passed","Sat Jun 08 09:57:40 GMT 2024","Sat Jun 08 09:57:48 GMT 2024","8595","Evershop End to End Test","Firefox Execution","simtran.evershop.tests.store.CategoryTests","simtran.evershop.tests.store.CategoryTests","verifySortingByPrice","Category - Verify sorting products by price",""
"passed","Sat Jun 08 09:57:09 GMT 2024","Sat Jun 08 09:57:10 GMT 2024","1374","Evershop End to End Test","Chrome Execution","simtran.evershop.tests.store.LoginTests","simtran.evershop.tests.store.LoginTests","verifyLoginUsingValidCredentials","Login - Verify logging in with valid credential",""
"passed","Sat Jun 08 09:57:14 GMT 2024","Sat Jun 08 09:57:15 GMT 2024","735","Evershop End to End Test","Chrome Execution","simtran.evershop.tests.store.CategoryTests","simtran.evershop.tests.store.CategoryTests","verifyProductCount","Category - Verify product count",""
"passed","Sat Jun 08 09:57:51 GMT 2024","Sat Jun 08 09:57:58 GMT 2024","7027","Evershop End to End Test","Firefox Execution","simtran.evershop.tests.store.ProductDetailsTests","simtran.evershop.tests.store.ProductDetailsTests","verifyOpeningProductDetailsPageFromCategoryPage","Product Details - Verify opening product details page from Category page",""
"passed","Sat Jun 08 09:57:42 GMT 2024","Sat Jun 08 09:57:44 GMT 2024","1901","Evershop End to End Test","Chrome Execution","simtran.evershop.tests.store.ProductDetailsTests","simtran.evershop.tests.store.ProductDetailsTests","verifyOpeningProductDetailsPageFromHomepage","Product Details - Verify opening product details page from Homepage",""
"passed","Sat Jun 08 09:57:18 GMT 2024","Sat Jun 08 09:57:26 GMT 2024","7742","Evershop End to End Test","Chrome Execution","simtran.evershop.tests.store.CategoryTests","simtran.evershop.tests.store.CategoryTests","verifySortingByName","Category - Verify sorting products by name",""
"passed","Sat Jun 08 09:57:26 GMT 2024","Sat Jun 08 09:57:34 GMT 2024","7477","Evershop End to End Test","Chrome Execution","simtran.evershop.tests.store.CategoryTests","simtran.evershop.tests.store.CategoryTests","verifySortingByPrice","Category - Verify sorting products by price",""
"passed","Sat Jun 08 09:57:14 GMT 2024","Sat Jun 08 09:57:15 GMT 2024","899","Evershop End to End Test","Firefox Execution","simtran.evershop.tests.store.CategoryTests","simtran.evershop.tests.store.CategoryTests","verifyOpeningCategoriesFromHomepage","Category - Verify opening categories from Homepage",""
"passed","Sat Jun 08 09:57:05 GMT 2024","Sat Jun 08 09:57:07 GMT 2024","1166","Evershop End to End Test","Firefox Execution","simtran.evershop.tests.store.CategoryTests","simtran.evershop.tests.store.CategoryTests","verifyOpeningCategoriesFromHomepage","Category - Verify opening categories from Homepage",""
"passed","Sat Jun 08 09:57:13 GMT 2024","Sat Jun 08 09:57:14 GMT 2024","698","Evershop End to End Test","Chrome Execution","simtran.evershop.tests.store.CategoryTests","simtran.evershop.tests.store.CategoryTests","verifyOpeningCategoriesFromHomepage","Category - Verify opening categories from Homepage",""
