"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 15 16:54:51 GMT 2024","Mon Jul 15 16:54:54 GMT 2024","3521","","Product details page","","Verify opening product details page from Homepage","","Verify opening product details page from Homepage",""
"passed","Mon Jul 15 16:54:36 GMT 2024","Mon Jul 15 16:54:41 GMT 2024","4161","","Login","","Verify logging in with invalid credentials","","Verify logging in with invalid credentials",""
"passed","Mon Jul 15 16:53:56 GMT 2024","Mon Jul 15 16:54:00 GMT 2024","3675","","Category page","","Verify opening categories from Homepage","","Verify opening categories from Homepage",""
"passed","Mon Jul 15 16:54:31 GMT 2024","Mon Jul 15 16:54:36 GMT 2024","4970","","Login","","Verify logging in with valid credential","","Verify logging in with valid credential",""
"passed","Mon Jul 15 16:54:58 GMT 2024","Mon Jul 15 16:55:02 GMT 2024","4086","","Product details page","","Verify opening product details page from Category page","","Verify opening product details page from Category page",""
"passed","Mon Jul 15 16:54:54 GMT 2024","Mon Jul 15 16:54:58 GMT 2024","4123","","Product details page","","Verify opening product details page from Category page","","Verify opening product details page from Category page",""
"passed","Mon Jul 15 16:55:02 GMT 2024","Mon Jul 15 16:55:07 GMT 2024","4629","","Product details page","","Verify opening product details page from Category page","","Verify opening product details page from Category page",""
"passed","Mon Jul 15 16:54:07 GMT 2024","Mon Jul 15 16:54:11 GMT 2024","3655","","Category page","","Verify product count displayed on category page matches product list size","","Verify product count displayed on category page matches product list size",""
"passed","Mon Jul 15 16:54:41 GMT 2024","Mon Jul 15 16:54:44 GMT 2024","3253","","Product details page","","Verify opening product details page from Homepage","","Verify opening product details page from Homepage",""
"passed","Mon Jul 15 16:53:53 GMT 2024","Mon Jul 15 16:53:56 GMT 2024","3840","","Category page","","Verify opening categories from Homepage","","Verify opening categories from Homepage",""
"passed","Mon Jul 15 16:54:04 GMT 2024","Mon Jul 15 16:54:07 GMT 2024","3736","","Category page","","Verify product count displayed on category page matches product list size","","Verify product count displayed on category page matches product list size",""
"passed","Mon Jul 15 16:54:21 GMT 2024","Mon Jul 15 16:54:31 GMT 2024","10160","","Category page","","Verify sorting products by price (ascending and descending)","","Verify sorting products by price (ascending and descending)",""
"passed","Mon Jul 15 16:54:11 GMT 2024","Mon Jul 15 16:54:21 GMT 2024","10229","","Category page","","Verify sorting products by name (ascending and descending)","","Verify sorting products by name (ascending and descending)",""
"passed","Mon Jul 15 16:54:44 GMT 2024","Mon Jul 15 16:54:47 GMT 2024","3621","","Product details page","","Verify opening product details page from Homepage","","Verify opening product details page from Homepage",""
"passed","Mon Jul 15 16:53:46 GMT 2024","Mon Jul 15 16:53:52 GMT 2024","6488","","Category page","","Verify opening categories from Homepage","","Verify opening categories from Homepage",""
"passed","Mon Jul 15 16:54:00 GMT 2024","Mon Jul 15 16:54:04 GMT 2024","3523","","Category page","","Verify product count displayed on category page matches product list size","","Verify product count displayed on category page matches product list size",""
"passed","Mon Jul 15 16:54:47 GMT 2024","Mon Jul 15 16:54:51 GMT 2024","3334","","Product details page","","Verify opening product details page from Homepage","","Verify opening product details page from Homepage",""
