"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 13 15:37:34 GMT 2024","Mon May 13 15:37:34 GMT 2024","50","Alfio End to End Test","Firefox Execution","simtran.alfiotest.tests.prelogin.LoginTest","simtran.alfiotest.tests.prelogin.LoginTest","verifyLoginPageTitle","Login page's title",""
"passed","Mon May 13 15:37:30 GMT 2024","Mon May 13 15:37:31 GMT 2024","1009","Alfio End to End Test","Firefox Execution","simtran.alfiotest.tests.prelogin.LoginTest","simtran.alfiotest.tests.prelogin.LoginTest","loginWithoutCheckingCaptchaCheckbox","Login - Ignore captcha checkbox",""
"passed","Mon May 13 15:37:30 GMT 2024","Mon May 13 15:37:30 GMT 2024","40","Alfio End to End Test","Chrome Execution","simtran.alfiotest.tests.prelogin.LoginTest","simtran.alfiotest.tests.prelogin.LoginTest","verifyLoginPageTitle","Login page's title",""
"passed","Mon May 13 15:37:28 GMT 2024","Mon May 13 15:37:29 GMT 2024","1225","Alfio End to End Test","Chrome Execution","simtran.alfiotest.tests.prelogin.LoginTest","simtran.alfiotest.tests.prelogin.LoginTest","loginWithoutCheckingCaptchaCheckbox","Login - Ignore captcha checkbox",""
