"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 12 16:06:57 GMT 2024","Sun May 12 16:06:57 GMT 2024","42","Alfio End to End Test","Chrome Execution","simtran.alfiotest.tests.prelogin.LoginTest","simtran.alfiotest.tests.prelogin.LoginTest","verifyLoginPageTitle","Login page's title",""
"passed","Sun May 12 16:06:54 GMT 2024","Sun May 12 16:06:55 GMT 2024","1448","Alfio End to End Test","Chrome Execution","simtran.alfiotest.tests.prelogin.LoginTest","simtran.alfiotest.tests.prelogin.LoginTest","loginWithoutCheckingCaptchaCheckbox","Login - Ignore captcha checkbox",""
"passed","Sun May 12 16:06:48 GMT 2024","Sun May 12 16:06:49 GMT 2024","1011","Alfio End to End Test","Firefox Execution","simtran.alfiotest.tests.prelogin.LoginTest","simtran.alfiotest.tests.prelogin.LoginTest","loginWithoutCheckingCaptchaCheckbox","Login - Ignore captcha checkbox",""
"passed","Sun May 12 16:06:53 GMT 2024","Sun May 12 16:06:53 GMT 2024","46","Alfio End to End Test","Firefox Execution","simtran.alfiotest.tests.prelogin.LoginTest","simtran.alfiotest.tests.prelogin.LoginTest","verifyLoginPageTitle","Login page's title",""
